report,type,option,args
backlinks,backlinks_categories,target,
backlinks,backlinks_categories,target_type,
backlinks,backlinks_categories,export_columns,category_name;rating
backlinks,backlinks_categories,required,target;target_type
backlinks,backlinks_categories,description,"This report returns the list of categories queried domain belong to. When you run a query for a domain, in return, in each line, you receive a category and a rating. Rating is a level of confidence that this domain belongs to this category (ranged from 0 to 1). Results are sorted by the rating."
backlinks,backlinks_historical,target,
backlinks,backlinks_historical,target_type,
backlinks,backlinks_historical,timespan,
backlinks,backlinks_historical,export_columns,date;backlinks_num;backlinks_new_num;backlinks_lost_num;domains_num;domains_new_num;domains_lost_num
backlinks,backlinks_historical,required,target;target_type
backlinks,backlinks_historical,description,"This report returns historical trends of number of backlinks and referring domains for queried domain. When you run a query for a domain, in return, in each line, you receive a date and a number of backlinks and referring domains queried domain had on this date. Results are sorted by date in descending order (from most recent to oldest)."
keyword,phrase_all,phrase,
keyword,phrase_all,database,
keyword,phrase_all,export_columns,Dt;Db;Ph;Nq;Cp;Co;Nr
keyword,phrase_all,required,keyword
keyword,phrase_all,description,"This report provides a summary of a keyword, including its volume, CPC, competition, and the number of results in all regional databases."
keyword,phrase_this,phrase,
keyword,phrase_this,database,
keyword,phrase_this,export_columns,Ph;Nq;Cp;Co;Nr;Td
keyword,phrase_this,required,keyword;database
keyword,phrase_this,description,"This report provides a summary of a keyword, including its volume, CPC, competition, and the number of results in a chosen regional database."
keyword,phrase_these,phrase,
keyword,phrase_these,database,
keyword,phrase_these,export_columns,Ph;Nq;Cp;Co;Nr;Td
keyword,phrase_these,required,keyword;database
keyword,phrase_these,description,"This report provides a summary of up to 100 keywords, including its volume, CPC, competition, and the number of results in a chosen regional database."
keyword,phrase_organic,phrase,
keyword,phrase_organic,database,
keyword,phrase_organic,display_limit,
keyword,phrase_organic,export_columns,Dr;Ur
keyword,phrase_organic,required,keyword;database
keyword,phrase_organic,description,This report lists domains that are ranking in Google's top 100 organic search results with a requested keyword.
keyword,phrase_adwords,phrase,
keyword,phrase_adwords,database,
keyword,phrase_adwords,display_limit,
keyword,phrase_adwords,export_columns,Dr;Ur;Vu
keyword,phrase_adwords,required,keyword;database
keyword,phrase_adwords,description,This report lists domains that are ranking in Google's paid search results with a requested keyword.
keyword,phrase_related,phrase,
keyword,phrase_related,database,
keyword,phrase_related,display_limit,
keyword,phrase_related,export_columns,Ph;Nq;Cp;Co;Nr;Td;Rr;Fk
keyword,phrase_related,required,keyword;database
keyword,phrase_related,description,"This report provides an extended list of related keywords, synonyms, and variations relevant to a queried term in a chosen database."
keyword,phrase_adwords_historical,phrase,
keyword,phrase_adwords_historical,database,
keyword,phrase_adwords_historical,display_limit,
keyword,phrase_adwords_historical,export_columns,Dn;Dt;Po;Ur;Tt;Ds;Vu;At;Ac;Ad
keyword,phrase_adwords_historical,required,keyword;database
keyword,phrase_adwords_historical,description,This report shows domains that have bid on a requested keyword in the last 12 months and their positions in paid search results.
keyword,phrase_fullsearch,phrase,
keyword,phrase_fullsearch,database,
keyword,phrase_fullsearch,display_limit,
keyword,phrase_fullsearch,export_columns,Ph;Nq;Cp;Co;Nr;Td;Fk
keyword,phrase_fullsearch,required,keyword;database
keyword,phrase_fullsearch,description,"The report provides a list of broad matches and alternate search queries, including particular keywords or keyword expressions."
keyword,phrase_questions,phrase,
keyword,phrase_questions,database,
keyword,phrase_questions,export_columns,Ph;Nq;Cp;Co;Nr;Td
keyword,phrase_questions,display_limit,
keyword,phrase_questions,required,keyword;database
keyword,phrase_questions,description,The report provides a list of phrase questions relevant to a queried term in a chosen database.
keyword,phrase_kdi,phrase,
keyword,phrase_kdi,database,
keyword,phrase_kdi,export_columns,Ph;Kd
keyword,phrase_kdi,required,keyword;database
keyword,phrase_kdi,description,"This report provides keyword difficulty, an index that helps to estimate how difficult it would be to seize competitors' positions in organic search within the Google's top 100 with an indicated search term."
overview,domain_ranks,domain,
overview,domain_ranks,database,
overview,domain_ranks,display_limit,
overview,domain_ranks,export_columns,Db;Dt;Dn;Rk;Or;Ot;Oc;Ad;At;Ac;Sh;Sv;FKn;FPn
overview,domain_ranks,required,domain
overview,domain_ranks,description,This report provides live or historical data on a domain's keyword rankings in both organic and paid search in all regional databases.
overview,domain_rank,domain,
overview,domain_rank,database,
overview,domain_rank,export_columns,Dn;Rk;Or;Xn;Ot;Oc;Ad;At;Ac;FKn;FPn
overview,domain_rank,required,domain;database
overview,domain_rank,description,This report provides live or historical data on a domain's keyword rankings in both organic and paid search in a chosen regional database.
overview,domain_rank_history,domain,
overview,domain_rank_history,database,
overview,domain_rank_history,display_limit,
overview,domain_rank_history,export_columns,Rk;Or;Xn;Ot;Oc;Ad;At;Ac;Dt;FKn;FPn
overview,domain_rank_history,required,domain;database
overview,domain_rank_history,description,This report provides live and historical data on a domain's keyword rankings in both organic and paid search in a chosen database.
overview,rank_difference,database,
overview,rank_difference,display_limit,
overview,rank_difference,export_columns,Dn;Rk;Or;Ot;Oc;Ad;At;Ac;Om;Tm;Um;Am;Bm;Cm
overview,rank_difference,required,database
overview,rank_difference,description,"This report shows changes in the number of keywords, traffic, and budget estimates of the most popular websites in Google's top 100 and paid search results."
overview,rank,database,
overview,rank,display_limit,
overview,rank,export_columns,Dn;Rk;Or;Ot;Oc;Ad;At;Ac
overview,rank,required,database
overview,rank,description,This report lists the most popular domains ranked by traffic originating from Google's top 100 organic search results.
